California,683529,null,null
Florida,605342,null,null
Texas,597737,null,null
Georgia,263074,null,null
New York City,234254,229518,4736
Illinois,228751,227334,1417
Arizona,200139,198504,1635
New York,198991,null,null
New Jersey,190613,null,null
North Carolina,161076,null,null
Tennessee,149179,145743,3436
Louisiana,146338,null,null
Pennsylvania,131156,127430,3726
Massachusetts,126868,117450,9418
Alabama,121023,112794,8229
Ohio,118828,112489,6339
Virginia,117592,112446,5146
South Carolina,114598,113107,1491
Michigan,110343,99958,10385
Maryland,106664,null,null
Indiana,90504,null,null
Mississippi,81294,77822,3472
Missouri,79574,null,null
Wisconsin,78004,73138,4866
Minnesota,73240,null,null
Washington,72703,null,null
Nevada,67491,null,null
Iowa,61484,null,null
Oklahoma,60551,55539,5012
Arkansas,58745,null,null
Colorado,56343,52562,3781
Connecticut,52350,50255,2095
Utah,51167,50729,438
Kentucky,45978,42169,3809
Kansas,39937,38807,1130
Nebraska,33101,null,null
Puerto Rico,31988,14726,17262
Idaho,31122,28841,2281
Oregon,25761,24482,1279
New Mexico,24920,null,null
Rhode Island,21589,null,null
Delaware,16976,15987,989
District of Columbia,13794,null,null
South Dakota,12194,null,null
North Dakota,11110,null,null
West Virginia,9633,9458,175
New Hampshire,7194,null,null
Hawaii,7016,null,null
Montana,6929,6929,0
Alaska,4975,null,null
Maine,4437,3982,455
Wyoming,3722,3166,556
Vermont,1586,null,null
Guam,1240,null,null
Virgin Islands,1075,null,null
Northern Mariana Islands,54,54,0
American Samoa,0,null,null
Federated States of Micronesia,0,0,0
Palau,0,null,null
Republic of Marshall Islands,0,0,0
